"Enabled","Aktif"
"Frequency","Aralık"
"Monthly","Ayda Bir"
"Products Options","Ürün Özellikleri"
"Generation Settings","Üretme Ayarları"
"Priority","Önem"
"Priority must be between 0 and 1","Önem değeri 0 ile 1 arasında olmalıdır"
"Start Time","Başlama Tarihi"
"CMS Pages Options","CMS Sayfa Ayarları"
"Always","Daima"
"Filename","Dosya Adı"
"Error Email Recipient","Hata Mesajı Alıcısı"
"Error Email Template","Hata Mesajı Şablonu"
"Error Email Sender","Hata Mesajı Göndericisi"
"Daily","Günde Bir"
"Link for Google","Google Bağlantısı"
"Google Sitemaps","Google Site Haritaları"
"Manage Google Sitemaps","Google Site Haritalarını Yönet"
"Google Sitemap","Google Site Haritası"
"Weekly","Haftada Bir"
"Never","Hiç Bir Zaman"
"Categories Options","Kategori Seçenekleri"
"Store View","Mağaza Görünümü"
"ID","No"
"Hourly","Saatte Bir"
"Unable to find a sitemap to delete","Silinecek site haritası bulunamadı"
"Sitemap","Site Haritası"
"Sitemap generate Warnings","Site Haritası üretim hataları"
"This sitemap no longer exists","Site haritası bulunamadı"
"Edit Sitemap","Site Haritası Düzenle"
"Add Sitemap","Site Haritası Ekle"
"Sitemap was successfully saved","Site Haritası kaydedildi"
"Sitemap was successfully deleted","Site Haritası silindi"
"Last Time Generated","Son Üretilme Tarihi"
"Yearly","Yıllık"
"New Sitemap","Yeni Site Haritası"
"Path","Yol"
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"Action","İşlem"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","""%s"" adlı dosya kaydedilemedi. ""%s"" klasörünün web sunucusu tarafından yazılabilir olduğundan emin olunuz."
"Generate","Üret"
"Google Sitemap Section","Google Site Haritası Bölümü"
"Please create the specified folder ""%s"" before saving the sitemap.","Harita oluşturmadan önce ""%s"" klasörünü oluşturunuz."
"Please define correct path","Lütfen doğru klasörü belirtiniz"
"Please make sure that ""%s"" is writable by web-server.","""%s"" klasörünün web sunucusu tarafından yazılabilir olduğundan emin olunuz."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Dosya adlarında sadece harf (a-z or A-Z), rakam (0-9) veya alt çizgi (_) kullanınız. Boşluk veya başka karakterle kullanmayınız."
"Sitemap ""%s"" has been successfully generated","""%s"" adlı site haritası üretildi"
"Unable to find a sitemap to generate","Üretilecek site haritası bulunamadı"
"Unable to generate a sitemap","Site haritası üretilemedi"
"Valid values range from 0.0 to 1.0","Geçerli değer aralığı 0.0 - 1.0 arasıdır"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"The priority must be between 0 and 1.","Önem verisi 0 ile 1 arasında olmalıdır."
"The sitemap ""%s"" has been generated."," ""%s"" adlı site haritası oluşturuldu."
"The sitemap has been deleted.","Site haritası silindi."
"The sitemap has been saved.","Site haritası kaydedildi."
"This sitemap no longer exists.","Site haritası bulunamadı."
"Unable to find a sitemap to delete.","Silinecek site haritası bulunamadı."
"Unable to find a sitemap to generate.","Oluşturulacak site haritasına ulaşılamadı."
"Unable to generate the sitemap.","Site haritası oluşturulamıyor."
"Valid values range: from 0.0 to 1.0.","Geçerli aralık 0.0 ile 1.0 arasıdır."
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
