"-- Please select --","-- Lütfen Seçiniz --"
"Enabled","Aktif"
"Invalid rates received","Alınan kur bilgileri hatalı"
"Frequency","Aralık"
"State/Province","Şehir"
"Allowed currencies","İzin verilen Para Birimleri"
"Country and Format Type combination should be unique","Ülke ve biçim bilgileri eşsiz olmalıdır"
"Start Time","Başlangıç Saati"
"Continue &raquo;","Devam &raquo;"
"Error Email Recipient","Hata Bildirimi E-Mail Alıcısı"
"Error Email Template","Hata Bildirimi E-Mail Şablonu"
"Error Email Sender","Hata Bildirimi E-Mail Göndericisi"
"Invalid country code: %s","Hatalı Ülke Kodu : %s"
"Undefined rate from ""%s-%s""","Hatalı veri kaynağı ""%s-%s"""
"Invalid Import Service Specified","Hatalı Veri Kaynağı belirtildi"
"Invalid target currency","Hedef para birimi seçimi hatalı"
"Your current currency is: %s","Kullanımda Olan Para Birimi : %s"
"Cannot retrieve rate from %s","Kur bilgileri %s adresinden alınamadı"
"Currency Update Warnings","Kur Güncelleme Uyarıları"
"FATAL ERROR:","KURTARILAMAZ HATA :"
"Installed Currencies","Kurulu Para Birimleri"
"Currency","Para Birimi"
"Currency Setup","Para Birimi Ayarları"
"Currency Options","Para Birimi Seçenekleri"
"Select Your Currency","Para Birimi Seçiniz"
"Country","Ülke"
"Service","Servis"
"Base currency (Currency will be used for all online payment transactions)","Temel Para Birimi (Bütün parasl hareketler ve tahsilat için bu para birimi kullanılacaktır)"
"WARNING:","UYARI :"
"Default display currency","Varsayılan Gösterilecek Para Birimi"
"Unable to initialize import model","Veri alma modeli başlatılamadı"
"Scheduled Import Settings","Zamanlanmış Kur Güncelleme Ayarları"
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"Base currency","Ana para birimi"
"Country Api","Ülke API si"
"Currency will be used for all online payment transactions","Para birimi bütün çevrimiçi tahsilat sistemlerinde kullanılacak"
"Directory","Dizin"
"List of countries","Ülke listesi"
"List of regions in specified country","Seçili ülkenin bölgeleri/şehirleri"
"Region","Bölge"
"Region Api","Bölge API si"
"Remove space from currency sign","Para birimi simgesindeki boşluğu kaldır"
"Strikeiron Email Update Warnings","Strikeiron Email Güncelleme Hataları"
"--------------- v 1.3 2009-08-05 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Connection timeout in seconds","Bağlantı zaman aşımı (sn.)"
"Webservicex","Webservicex"
"--------------- v 1.3 2009-08-05 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Postal Code is Optional for","Posta Kodu isteğe bağlıdır"
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Allowed Currencies","İzin Verilen Para Birimleri"
"Base Currency","Ana Para Birimi"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Ana para birimi sistemden yapılacak tüm ödeme işlemlerinde kullanılacaktır. Fiyat havuzu Katalog fiyat havuzundan alınmaktadır (""Katalog"" > ""Fiyat"" > ""Katalog Fiyat Havuzu"")."
"Cannot retrieve rate from %s.","%s adresinden döviz kuru bilgisi alınamadı."
"Connection Timeout in Seconds","Bağlantı Zaman Aşımı ( Saniye )"
"Default Display Currency","Varsayılan Gösterilecek Para Birimi"
"Invalid Import Service specified.","Hatalı Veri Sağlayıcısı seçimi."
"Invalid target currency.","Hatalı hedef para birimi."
"Postal Code is Optional for the following countries","Belirlenen ülkeler için Posta Kodu zorunlu değildir"
"Unable to initialize the import model.","Veri alma modeli başlatılamadı."
"Undefined rate from ""%s-%s"".","Hatalı döviz kuru : ""%s-%s""."
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.5.1.0 2011-05-10 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Country API","Ülke APIsi"
"Region API","Bölge/Şehir APIsi"
"--------------- v 1.5.1.0 2011-05-10 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-01-22 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Can\'t convert rate from ""%s-%s"".","""%s-%s"" döviz çevrimi yapılamıyor."
"--------------- v 1.7.0.0-alpha 2012-01-22 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-04-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Display not required State","Gerekli olmayan ülkelerde de şehir alanını göster"
"State is required for","Şehir bilgisi gerekli"
"States Options","Şehir Seçenekleri"
"--------------- v 1.7.0.0-alpha 2012-04-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.9.2.2 2016-05-21 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Your Currency","Sizin Para Biriminiz"
"Your Currency:","Sizin Para Biriminiz:"
"--------------- v 1.9.2.2 2016-05-21 SONU --------------------","////////////////////////////////////////////////////////////////////////"
