"Details for %s #%s"," %s için Detaylar / #%s"
"Order #%s created at %s","#%s Numaralı sipariş %s tarihinde oluşturuldu"
"%s - Discounts and Coupons","%s - İndirimler ve Kuponlar"
"%s - Special Discounts","%s - Özel İndirimler"
"%s's Wishlist","%s Takip Listesi"
"Products tagged with %s","%s tarafından etiketlenen ürünler"
"New Products from %s","%s Yeni Ürünler"
"There are no %s.","%s yok."
"%s has reached a quantity of %s.","%s, %s için belirlenen adet limitini geçti."
"To:","Alıcı :"
"Subtotal","Ara Toplam "
"Discount ","İndirim "
"Product: ""%s"" review By: %s","Ürün : ""%s"" Yorumlayan : %s"
"Product: <a href=""%s"">%s</a> <br/>","Ürün : <a href=""%s"">%s</a> <br/>"
"Tags Products","Ürün Etiketleri"
"Special Products","Özel Ürünler"
"Special/Discount Products","Özel/İndirimli Ürünler"
"Pending product review(s)","Bekleyen Ürün Yorumları"
"Notified Date: %s<br/>","Bildirim Tarihi : %s<br/>"
"Current Status: %s<br/>","Durum : %s<br/>"
"Top Level Category","En üst kategori"
"From:","Gönderen :"
"Grand Total","Genel Toplam"
"Gift Message","Hediye Mesajı"
"Shipping & Handling","Kargolama ve Teslim Alma"
"Catalog","Katalog"
"Coupons/Discounts","Kuponlar/İndirimler"
"Store: %s <br/>","Mağaza : %s <br/>"
"Customer Name: %s","Müşteri Adı : %s"
"Customer Order Status Notification","Müşteri Sipariş Durum Bildirimi"
"Message:","Mesaj :"
"RSS Feeds","RSS Akışları"
"Rss Config","Rss Ayarları"
"Enable RSS","RSS'i aç"
"Purchased From: %s","Satıcı : %s"
"Order # %s Notification(s)","Sipariş # %s Bildirim(ler)i"
"Low Stock Products","Stoku Azalmış Ürünler"
"Wishlist","Takip Listesi"
"Cannot retrieve the wishlist","Takip listesi alınamadı"
"Total: %s<br/>","Toplam : %s<br/>"
"Tax","Vergi"
"Get Feed","Veri Akışı Al"
"Error in processing xml. %s","XML oluşturmada hata. %s"
"New Products","Yeni Ürünler"
"New Orders","Yeni Siparişler"
"Review: %s <br/>","Yorum : %s <br/>"
"Summary of review: %s <br/>","Yorum özeti : %s <br/>"
"Comment: %s<br/>","Yorum: %s<br/>"
"click <a href=""%s"">here</a> to view the review","Yorumu görmek için <a href=""%s"">BURAYA</a> tıklayınız"
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"%s RSS Feed","%s RSS Akışı"
"%s\'s Wishlist","%s\'s Takip Listesi"
"Category Feeds","Kategori Veri Akışı"
"Miscellaneous Feeds","Çeşitli Veri Akışları"
"RSS","RSS"
"RSS testing","RSS test ediliyor"
"Rss Feeds Section","Rss Akışları Bölümü"
"There are no Rss Feeds","Hiç RSS akışı yok"
"There are no Rss Feeds.","Hiç RSS akışı yok."
"Total Products: %s","Toplam Ürün Sayısı : %s"
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"RSS Feeds List","RSS Akış Listesi"
"Shipping &amp; Handling","Teslim Alma &amp; Teslimat"
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"%s - Special Products","%s - Özel Ürünler"
"Discount","İndirim"
"Discount (%s)","İndirim (%s)"
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.6.0.0-rc1 2011-07-19 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Click for price","Fiyat için tıklayınız"
"--------------- v 1.6.0.0-rc1 2011-07-19 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-04-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"RSS Feeds Section","RSS Veri Akışı Bölümü"
"--------------- v 1.7.0.0-alpha 2012-04-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
