" in rows: "," satırlarda: "
"-- Please Select --","-- Lütfen Seçiniz --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adaptör, Mage_ImportExport_Model_Import_Adapter_Abstract modelinin bir örneği olmalıdır"
"Adapter type must be a non empty string","Adaptör tipi boş olmayan yazı olmalı"
"Can not determine attribute filter type","Özellik filtre tipi belirlenemedi"
"Can not find required columns: ","İstenen Sütunlar bulunamadı : "
"Can not get autoincrement value","Otomatik artırma değeri bulunamadı"
"Check Data","Veriyi Kontrol Et"
"Column names has duplicates","Sütun adlarında çift olanlar var"
"Column names is empty or is not an array","Sütun adları boş veya dizi değişken değil"
"Column names: ""%s"" are invalid","Sütun adları : ""%s"" hatalı"
"Continue","Devam Et"
"Data is invalid or file is not uploaded","Veri hatalı veya dosya yüklenemedi"
"Destination directory is not writable","Hedef klasöre yazma hakkı yok"
"Destination file is not writable","Hedef dosyaya yazma hakkı yok"
"Destination file path must be a string","Hedef dosya yolu sadece alfanümerik karakterlerden oluşabilir"
"Entity Attributes","Birim Özellikleri"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Birim adaptörü Mage_ImportExport_Model_Import_Entity_Abstract in bir örneği olmalıdır"
"Entity is unknown","Birim bulunamıyor"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Birim tipi modeli Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract'in bir örneği olmalı"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Birim tipi modeli Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract'in bir örneği olmalı"
"Error in data structure: behaviors are mixed","Veri yapısında hata : hareket karışık"
"Error in data structure: entity codes are mixed","Veri yapısında hata : birim kodları karışık"
"Export","Dışarı Ver"
"Export FAQ","Dışarı Verme SSS"
"FAQ","SSS"
"File does not contain data. Please upload another one","Dosyada veri yok. Lütfen başka bir dosya yükleyiniz"
"File format is unknown","Dosya biçimi tanınamadı"
"File is partially valid, but import is not possible","Dosya kısmen doğru ama veri almak imkansız"
"File is totally invalid. Please fix errors and re-upload file","Dosya tamamen hatalı. Lütfen bu hataları düzelterek dosyayı yeniden yükleyiniz"
"File is valid! To start import process press ""Import"" button","Dosya geçerli! Veri alma işlemini başlatmak için ""Veri Al"" tuşuna basınız"
"File is valid, but import is not possible","Dosya geçerli ama veri almak imkansız"
"Header column names already set","Sütun adları zaten ayarlanmış"
"Import","Veri Al"
"Import / Export FAQ (Frequently Asked Questions)","Veri Alma / Verme SSS (Sık Sorulan Sorular)"
"Import FAQ","Veri Alma SSS"
"Import successfully done.","Veri alma işlemi tamamlandı."
"Import/Export","Veri Al/Ver"
"In/Out","İçeri/Dışarı"
"Input entity code is not equal to entity adapter code","Giriş birim kodu birim adaptör kodu ile aynı değil"
"Invalid entity","Hatalı birim"
"Invalid file format","Hatalı dosya biçimi"
"Invalid parameters","Hatalı parametreler"
"Invalid seek position","Hatalı dosya işaretçisi posizyonu"
"Invalid value for '%s'","'%s' için hatalı veri"
"No filter data provided","Filtre verisi girilmedi"
"No source specified","Kaynak belirtilmedi"
"No valid data sent","Geçerli veri gönderilmedi"
"No writer specified","Yazıcı belirtilmedi"
