"Account login","Hesap Kullanıcı Adı"
"Account password","Hesap Şifre"
"Active","Aktif"
"Add Attribute Mapping","Özellik Eşleşmesi Ekle"
"Add New Attribute","Özellik Ekle"
"Add to Google Base","Google Base'e Ekle"
"Are you sure?","Emin misiniz ?"
"Attribute","Özellik"
"Attribute Set","Özellik Seti"
"Attribute Set and Item Type","Özellik Seti ve Ürün Tipi"
"Attributes","Özellikler"
"Attributes mapping","Özellik Eşleşmesi"
"Attributes Set","Özellik Seti"
"AuthSub","AuthSub"
"Available Products","Ürünler"
"Captcha confirmation error: %s","Grafik onayı hatası : %s"
"Captcha confirmed successfully","Grafik onayı başarılı"
"Clicks","Tıklamalar"
"ClientLogin","İstemciGirişi"
"Confirm","Onayla"
"Current Mapping will be reloaded. Continue?","Varolan eşleşme yeniden yüklenecek. Devam edilsin mi ?"
"Custom attribute, no mapping","Özel özellik, eşleşme yok"
"Default Store (%s)","Varsayılan Mağaza (%s)"
"Delete","Sil"
"Delete Mapping","Eşleşme Sil"
"Edit Item Type","Ürün Tipini Düzelt"
"Edit Item Type ""%s""","Ürün Tipini Düzelt ""%s"""
"Error: %s","Hata : %s"
"Expires","Bitiş"
"Germany","Germany"
"Google Base","Google Base"
"Google Base Attribute","Google Base Özelliği"
"Google Base ID","Google Base No"
"Google Base Item Type","Google Base Ürün Tipi"
"Google Base Item type","Google Base Ürün Tipi"
"Google Base Items","Google Base Ürünleri"
"Hide","Gizle"
"Impr.","Gör."
"Invalid Product Model for Google Base Item","Google Base Ürünü için Hatalı Ürün Modeli"
"Item model is not specified to delete Google Base entry","Google Base kaydını silmek için ürün modeli belirtilmedi"
"Item Type was deleted","Ürün Tipi Silindi"
"Item type was successfully saved","Ürün tipi kaydedildi"
"Item Types","Ürün Tipleri"
"Items","Ürünler"
"Manage Attribute Mapping","Özellik Eşleşmelerini Yönet"
"Manage Attributes","Özellikleri Yönet"
"Manage Items","Ürünleri Yönet"
"New Item Type","Yeni Ürün Tipi"
"No","Hayır"
"No items were deleted from Google Base","Google Base'den ürün silinemedi"
"No items were published","Hiç ürün yayınlanmadı"
"No items were saved as Inactive items","Hiç bir ürün Pasif olarak kaydedilmedi"
"No products were added to Google Base","Google Base'e hiç ürün eklenmedi"
"Object model is not specified to save Google Base entry","Google Base kaydını kaydetmek için Nesne modeli belirtilmedi"
"Page views","Sayfa görünümleri"
"Please, select Attribute Set and Google Item Type to load attributes","Özellikleri yüklemek için Özellik Seti ve Google Ürün Tipi seçiniz"
"Product Name","Ürün Adı"
"Publish","Yayınla"
"Published","Yayınlandı"
"Remove","Sil"
"Save Mapping","Eşleşmeyi Kaydet"
"Synchronize","Eşitle"
"Target Country","Hedef Ülke"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Bu işlem sonucunda ürün istatistikleri güncellenir, Google Base'de kaydı olmayan ürünler silinecek. Devam edilsin mi ?"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","Toplam %d ürün silindi, %d ürün güncellendi"
"Total of %d items(s) were successfully published","Toplam %d ürün yayınlandı"
"Total of %d items(s) were successfully removed from Google Base","Toplam %d ürün Google Base'den silindi "
"Total of %d items(s) were successfully saved as Inactive items","Toplam %d ürün Pasif olarak işaretlendi"
"Total of %d product(s) were successfully added to Google Base","Toplam %d ürün Google Base'e eklendi"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Google Base'e bağlanılamadı. GoogleBase ayarlarını kontrol ediniz."
"United Kingdom","İngiltere"
"United States","A.B.D."
"Update Google Base item when product is updated","Ürün güncellendiğinde GoogleBase kaydını da güncelle"
"View Available Products","Varolan Ürünleri Göster"
"View Item in Google Base","Google Base'deki Ürünleri Göster"
"Yes","Evet"
"--------------- v 1.3 2009-08-05 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"British Pound Sterling","Sterlin"
"Cannot update Google Base Item for Store '%s'","'%s' Mağazası için Google Base kaydı güncellenemedi"
"Euro","Euro"
"US Dollar","Amerikan Doları"
"--------------- v 1.3 2009-08-05 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Account Type","Hesap Tipi"
"Google","Google"
"Hosted","Barındırılan"
"Hosted or Google","Barındırılan veya Google"
"Unable to select a Store View","Mağaza görünümü seçilemedi"
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Account Login","Kullanıcı Girişi"
"Account Password","Kullanıcı Şifresi"
"Attributes Mapping","Özellik Eşleştirme"
"Captcha has been confirmed.","Resim onayı tamamlandı."
"Catalog","Katalog"
"Google base","Google base"
"Item model is not specified to delete Google Base entry.","Ürün modeli Google Base kaydını silmek üzere yapılandırılmadı."
"New ItemType","Yeni Ürün Tipi"
"No items were saved as inactive items","Hiç bir ürün pasif olarak işaretlenmedi"
"Object model is not specified to save Google Base entry.","Google Base kaydını güncellemek için nesne modeli belirlenmedi."
"Session expired during export. Please revise exported products and repeat the process if necessary.","Veri çıkarılırken oturum zaman aşımına uğradı. Lütfen veri çıkarma işlemini gözden geçirerek tekrar deneyiniz."
"The item type has been saved.","Ürün tipi kaydedildi."
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","%d adet ürün silindi; %d adet ürün güncellendi."
"Total of %d items(s) have been published.","%d adet ürün yayınlandı."
"Total of %d items(s) have been removed from Google Base.","%d adet ürün Google Base'den silindi."
"Total of %d items(s) have been saved as inactive items.","%d adet ürün Google Base'de pasifleştirildi."
