"Monthly","Ayda Bir"
"Success history lifetime","Başarılı işlemler geçmişi"
"Unable to save Cron expression","Cron ayarları kaydedilemedi"
"Missed if not run within","Eğer kendi içinde çalışmadıysa kaybolur"
"Daily","Günde Bir"
"Weekly","Haftada Bir"
"Failure history lifetime","Hatalı işlemler geçmişi"
"Schedule ahead for","Tek başına zamanla"
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Zamanlanmış Görevler) - bütün zamanlar dakika bazındadır"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Zamanlanmış görevler tarafından üretilen Adreslerin doğru olması için Sistem > Web > Güvenli ve Güvenli Olmayan Ana Adres verilerinin doğru olduğundan emin olunuz."
"Generate schedules every","Görev Çizelgesi Üretilme Sıklığı"
"History cleanup every","Geçmişi Temizleme Sıklığı"
"Invalid callback: %s::%s does not exist","Hatalı geri çağrım : %s::%s bulunamıyor"
"Invalid model/method definition, expecting ""model/class::method"".","Hatalı model/metod ayarlaması, beklenen ""model/class::method""."
"No callbacks found","Geri çağrım bulunamadı"
"Too late for the schedule","Görev çizelgesi için geç kalındı"
"Unknown error","Bilinmeyen hata"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Failure History Lifetime","Hata Geçmişi Saklama Süresi"
"Generate Schedules Every","Zaman Çizelgelerini Oluşturma Sıklığı"
"History Cleanup Every","Geçmişi Silme Sıklığı"
"Missed if Not Run Within","İçinde çalışmıyorsa Yok olarak işaretle"
"Schedule Ahead for","... İçin tek zamanlama oluştur"
"Success History Lifetime","Başarılı İşlem Geçmişi Saklama Süresi"
"Too late for the schedule.","Zamanlama yapmak için çok geç."
"Unable to save the cron expression.","Cron ifadesi kaydedilemedi."
"Unknown error.","Bilinmeyen Hata."
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
