"* Required Fields","* Doldurulması zorunlu alanlar"
"You can leave a box blank if you don't wish to add a gift message for this address.","Adres için hediye mesajı eklemek istemiyorsanız bu kutuyu boş bırakınız."
"To","Alıcı"
"Use config","Ayarları kullan"
"Cancel","İptal"
"You can leave a box blank if you don't wish to add a gift message for the item.","Ürün için hediye mesajı eklemek istemiyorsanız bu kutuyu boş bırakınız."
"Unknown entity type","Bilinmeyen entity tipi"
"Enter a gift message for this address.","Bu adres için bir hediye mesajı yazınız."
"Check this checkbox if you want to add gift messages to your items.","Bu ürüne Hediye Mesajı eklemek için BU KUTUYU işaretleyin."
"Edit","Düzenle"
"Add","Ekle"
"Are you sure?","Emin misiniz ?"
"Yes","Evet"
"From","Gönderici"
"Item %d of %d","Gösterilen : %d / Toplam : %d"
"No","Hayır"
"Gift Message","Hediye Mesajı"
"Edit Gift Message","Hediye Mesajı Düzenle"
"Add Gift Message","Hediye Mesajı Ekle"
"Check this checkbox if you want to add gift messages.","Hediye Mesajı eklemek için BU KUTUYU işaretleyin."
"Gift message has been successfully saved","Hediye mesajı kaydedildi"
"Error while saving gift message","Hediye mesajı kaydedilirken bir hata oluştu"
"Allow Gift Messages for Order Items","Her ürüne ayrı hediye mesajı girilebilsin"
"Save Gift Message","Hediye Mesajını Kaydet"
"Your gift message successfully saved","Hediye mesajınız kaydedildi"
"Your gift message has been successfully saved","Hediye mesajınız kaydedildi"
"Your gift message successfully removed","Hediye mesajınız silindi"
"Your gift message has been successfully removed","Hediye mesajınız silindi"
"Gift Messages","Hediye Mesajları"
"Close","Kapat"
"Save","Kaydet"
"Message","Mesaj"
"Enter a gift message for each item in your order.","Sepetinizdeki her ürün için bir hediye mesajı yazınız."
"Remove","Sil"
"Do you have any gift items in your order?","Sipariş ettiğiniz ürünler içinde hediye olan var mı ?"
"You can leave a box blank if you don't wish to add a gift message for whole order.","Siparişin tamamı için hediye mesajı eklemek istemiyorsanız bu kutuyu boş bırakınız."
"Enter a gift message for entire order.","Siparişinizin tamamı için bir hediye mesajı yazınız."
"Allow Gift Messages on Order Level","Siparişin tamamı için tek hediye mesajı girilebilsin"
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"You can leave a box blank if you don\'t wish to add a gift message for the item.","Ürüne hediye mesajı eklemek istemiyorsanız bu alanı boş bırakınız."
"You can leave a box blank if you don\'t wish to add a gift message for this address.","Adrese hediye mesajı eklemek istemiyorsanız bu alanı boş bırakınız."
"You can leave a box blank if you don\'t wish to add a gift message for whole order.","Siparişin tamamına hediye mesajı eklemek istemiyorsanız bu alanı boş bırakınız."
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"An error occurred while saving the gift message.","Hediye mesajı kaydedilirken bir hata oluştu."
"The gift message has been removed","Hediye mesajı silindi"
"The gift message has been saved","Hediye mesajı kaydedildi"
"The gift message has been saved.","Hediye mesajı kaydedildi."
"You can leave this box blank if you do not wish to add a gift message for the item.","Ürün için bir hediye mesajı eklemek istemiyorsanız bu alanı boş bırakınız."
"You can leave this box blank if you do not wish to add a gift message for this address.","Adres için bir hediye mesajı eklemek istemiyorsanız bu alanı boş bırakınız."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Siparişin tamamı için bir hediye mesajı eklemek istemiyorsanız bu alanı boş bırakınız."
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.5.0.0-rc2 2011-02-05 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Add gift options","Hediye seçenekleri ekle"
"Add gift options for Individual Items","Her ürün için hediye seçenekleri ekle"
"Add gift options for the Entire Order","Siparişin tamamı için hediye seçenekleri ekle"
"Add gift options.","Hediye seçenekleri ekle."
"Gift Options","Hediye Seçenekleri"
"Gift Options for","Hediye seçenekleri : "
"Gift Options for Individual Items","Her ürün için hediye seçenekleri"
"Gift Options for the Entire Order.","Siparişin tamamı için hediye seçenekleri."
"Gift Options for this address.","Bu adres için hediye seçenekleri."
"OK","Tamam"
"--------------- v 1.5.0.0-rc2 2011-02-05 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.5.1.0 2011-05-10 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Add gift message for shopping cart","Sepete hediye mesajı ekle"
"Add gift messages for quote item of shopping cart","Sipariş satırı için hediye mesajı ekle"
"Add gift messages to products of shopping cart","Sepetteki ürünlere hediye mesajı ekle"
"Gift Message API","Hediye Mesajı APIsi"
"--------------- v 1.5.1.0 2011-05-10 SONU --------------------","////////////////////////////////////////////////////////////////////////"
