"1 star","1 yıldız"
"2 stars","2 yıldız"
"3 stars","3 yıldız"
"4 stars","4 yıldız"
"5 stars","5 yıldız"
"Please select one of each ratings above","Aşağıdaki puanlardan birini seçiniz"
"Rating with the same title","Aynı adla bir puanlama oluştur"
"Assigned Options","Bağlı Özellikler"
"If you do not specify a rating title for a store, the default value will be used.","Bir mağaza için Puanlama Başlığı belirtmezseniz varsayılan değer kullanılır."
"Be the first to review this product","Bu ürünü ilk yorumlayan siz olun"
"Visible In","Gösterileceği Yer"
"ID","No"
"Rating Name","Puan Adı"
"Rating Title","Puan Başlığı"
"Rating Information","Puan Bilgisi"
"Edit Rating","Puan Düzenle"
"Rating Visibility","Puan Görünümü"
"Rating Options","Puan Seçenekleri"
"Delete Rating","Puan Sil"
"Rating isn't Available","Puanlama kullanılabilir değil"
"Manage Ratings","Puanlamaları Yönet"
"Save Rating","Puanlamayı Kaydet"
"Option Label","Seçenek Adı"
"Option Title","Seçenek Başlığı"
"Option Title:","Seçenek Başlığı :"
"Default Value","Varsayılan Değer"
"New Rating","Yeni Puanlama"
"Add New Rating","Yeni puanlama ekle"
"--------------- v 1.7.0.0-alpha 2012-04-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Sort Order","Sıralama"
"--------------- v 1.7.0.0-alpha 2012-04-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
