"--Select--","--Seç--"
"Add New Option","Yeni Seçenek Ekle"
"Add Selection","Seçim Ekle"
"As low as","En Düşük"
"Bundle Items","Hediye Ürünler"
"Bundle Product","Hediye Ürün"
"Buy %1$s with %2$s discount each","%1$s ile %2$s alırsanız ikisini de indirimli alırsınız"
"Checkbox","Onay Kutusu"
"Choose a selection...","Seçiniz..."
"Close","Kapat"
"Default","Varsayılan"
"Default Qty","Varsayılan Adet"
"Default Title","Varsayılan Başlık"
"Drop-down","Açılır Menü"
"Dynamic","Dinamik"
"Excl. Tax","Vergi Hariç"
"Fixed","Sabit"
"From","Kimden"
"From:","Kimden:"
"Gift Message","Hediye Mesajı"
"Incl. Tax","Vergi Dahil"
"Input Type","Giriş Tipi"
"Is Required","Zorunlu"
"Message:","Mesaj:"
"Multiple Select","Çoklu Seçim"
"N/A","Yok"
"No options of this product are available.","Bu ürünün seçenekleri yok."
"None","Yok"
"Percent","Hiçbiri"
"Percent Discount","İndirim Yüzdesi"
"Please enter search conditions to view products.","Ürünleri görmek için arama kelimelerini giriniz."
"Please select options for product.","Lütfen ürün için seçenek seçiniz."
"Please select products to add","Eklenecek ürünleri seçiniz"
"Please specify product option(s)","Ürün seçeneklerini belirleyiniz"
"Position","Pozisyon"
"Price as configured","Ayarlanan fiyat"
"Price Range","Fiyat Aralığı"
"Price Type","Fiyat Tipi"
"Qty:","Adet:"
"Radio Buttons","Çoktan Seçmeli Butonlar"
"Required options not selected.","Gerekli seçenekler seçilmedi."
"Selected required options not available.","Seçilen zorunlu seçenekler bulunamadı."
"Separately","Ayrı"
"Ship Bundle Items","Hediye Ürünleri Teslim Et"
"Shipment","Teslimat"
"Store View Title","Mağaza Görünüm Başlığı"
"There is no defined renderer for ""%s"" option type","""%s"" seçenek tipi için varsayılan bir işleyici yok"
"This product is also part of bundle(s)","Bu ürün zaten hediye ürünlerden biri"
"To","Kime"
"To:","Kime:"
"Together","Beraber"
"User Defined Qty","Kullanıcı Tarafından Seçilen Adet"
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Catalog Product View (Bundle)","Katalog Ürün Görünümü (Ek Ürün)"
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"-- Select --","-- Seçiniz --"
"As Low as","En Düşük Fiyat"
"Please Select Products to Add","Eklenecek Ürünleri Seçiniz"
"Please specify product option(s).","Ürün seçeneklerini belirleyiniz."
"Required options are not selected.","Zorunlu seçenek alanlarını doldurunuz."
"Selected required options are not available.","Seçtiğiniz zorunlu seçenek(ler) uygun değil."
"There is no defined renderer for ""%s"" option type.","""%s"" seçenek tipi için belirlenmiş yorumlayıcı yok."
"Use Default Value","Varsayılan Değeri Kullan"
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.5.0.0-rc2 2011-02-05 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"* Required Fields","* Zorunlu Alanlar"
"--------------- v 1.5.0.0-rc2 2011-02-05 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.8.0.0 2013-09-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Please enter a number greater 0 in this field.","Lütfen bu alana sıfırdan (0) büyük rakamsal değer giriniz."
"--------------- v 1.8.0.0 2013-09-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
