"You cannot send more than %d times in an hour","1 saat içinde en fazla %d adet gönderebilirsiniz"
"Max Products Sent in 1 Hour","1 Saat içinde gönderilecek en fazla ürün sayısı"
"Name","Adı"
"Name:","Adı:"
"Enabled","Aktif"
"Add Recipient","Alıcı Ekle"
"Recipient:","Alıcı:"
"Send product to a friend","Arkadaşına ürünü tavsiye et"
"Email to a Friend","Arkadaşına Gönder"
"Link to a friend was sent.","Bağlantı arkadaşınıza gönderildi."
"Some emails was not sent","Bazı e-mailler gönderilemedi"
"Some problems with data.","Bazı verilerde sorun var."
"You cannot email this product to a friend","Bu ürünü arkadaşınıza gönderemezsiniz"
"Email Address","Email Adresi"
"Email Address:","Email Adresi:"
"Remove Email","Email Adresini Sil"
"Email templates","Email şablonları"
"Select email template","Email şablonu sil"
"Email:","Email:"
"Maximum %d email addresses allowed.","En fazla %d adet email adresine izin veriliyor."
"Max Recipients","En fazla Alıcı sayısı"
"Send email","Gönder"
"Sender:","Gönderici :"
"Limit Sending By","Gönderimi limitle"
"Allow for Guests","Konuk kullanıcılara izin ver"
"Message:","Mesaj:"
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Back","Geri"
"Catalog Product Email to a Friend","Katalog Ürün Arkadaşına E-Mail Gönder"
"Invalid Sender information","Hatalı gönderici bilgisi"
"Invalid sender email","Hatalı gönderici adresi"
"Message can\'t be empty","Mesaj alanı boş olamaz"
"Please define correct Cookie instance","Lütfen geçerli bir Çerez (Cookie) örneği belirleyiniz"
"Please define correct Product instance","Lütfen geçerli bir Ürün örneği belirleyiniz"
"Please define correct Sender information","Lütfen geçerli bir Gönderici örneği belirleyiniz"
"Sender name can\'t be empty","Gönderici adı boş olamaz"
"You cannot send more than %d emails at a time","Bir seferde %d adetten fazla mail gönderemezsiniz"
"You have exceeded limit of %d sends in an hour","1 saat içinde gönderilebilecek mesaj limitini ( %d ) aştınız"
"You have to specify at least one recipient","En az 1 adet alıcı belirlemelisiniz"
"You input invalid email address for recipient","Alıcı için hatalı mail adresi girdiniz"
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"An invalid email address for recipient was entered.","Alıcı e-mail adresi hatalı."
"At least one recipient must be specified.","En az bir alıcı belirlemelisiniz."
"Email Templates","Email Şablonları"
"Invalid Sender Information","Gönderici bilgisi hatalı"
"Invalid sender email.","Gönderici e-mail adresi hatalı."
"No more than %d emails can be sent at a time.","Bir seferde %d adetten fazla mail gönderilemez."
"Please define a correct Cookie instance.","Lütfen geçerli bir çerez adı giriniz."
"Please define a correct Product instance.","Lütfen geçerli bir Ürün adı giriniz."
"Please define the correct Sender information.","Lütfen Gönderici bilgisini düzeltiniz."
"Select Email Template","E-Mail Şablonu Seç"
"Send Email","E-Mail Gönder"
"Some emails were not sent.","Bazı e-mail mesajları gönderilemedi."
"The link to a friend was sent.","Bağlantı arkadaşınıza gönderildi."
"The message cannot be empty.","Mesaj alanı boş bırakılamaz."
"The messages cannot be sent more than %d times in an hour","Bir saatte %d adetten fazla mail gönderilemez"
"The sender name cannot be empty.","Gönderici adı boş olmamalıdır."
"There were some problems with the data.","Veri ile ilgili bazı problemler var."
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
