"(eg: domain.com/identifier)","(ör: domain.com/kelime)"
"Description","Açıklama"
"Enabled","Aktif"
"Home","Ana Sayfa"
"Go to Home Page","Ana Sayfaya Git"
"Keywords","Anahtar Kelimeler"
"Poll Manager","Anket Yönetimi"
"Action","İşlem"
"Content","İçerik"
"CMS Blocks","İçerik Blokları"
"CMS","İçerik Yönetimi (CMS)"
"CMS Home Page","İçerik Yönetimi Ana Sayfası"
"CMS No Route Page","İçerik Yönetimi Sayfa Bulunamadı Sayfası"
"CMS Pages","İçerik Yönetimi Sayfaları"
"Show breadcrumbs for CMS pages","İçerik Yönetimi Sayfaları için izler kullan"
"This block no longer exists","İstediğiniz Blok bulunamıyor"
"This page no longer exists","İstediğiniz Sayfa bulunamıyor"
"Product Tax Class Information","Ürün Vergi Sınıfı Bilgisi"
"Preview","Önizleme"
"Custom Design","Özel Tasarım"
"Custom Theme","Özel Tema"
"Custom Theme To","Özel tema alıcısı"
"Custom Theme From","Özel tema kaynağı"
"Title","Başlık"
"Identifier","Belirteç"
"Block Title","Blok Başlığı"
"Block was successfully saved","Blok kaydedildi"
"Block was successfully deleted","Blok silindi"
"Static Blocks","Bloklar"
"Manage Blocks","Blokları Yönet"
"Edit Block","Bloku Düzenle"
"Edit Block '%s'","Bloku Düzenle '%s'"
"Save Block","Bloku Kaydet"
"Delete Block","Bloku Sil"
"Status","Durum"
"General Information","Genel Bilgi"
"Disabled","Kapalı"
"The page you are trying to save no longer exists","Kaydetmeye çalıştığınız sayfa yok"
"Block Information","lok Bilgisi"
"Store View","Mağaza Görünümü"
"Customer Tax Class Information","Müşteri Vergi Sınıfı Bilgisi"
"Meta Description","Meta Açıklaması"
"Meta Keywords","Meta Anahtar Kelimeleri"
"Meta Data","Meta Bilgisi"
"Date Created","Oluşturulma Tarihi"
"Delete Page","Sayfayı Sil"
"Page Title","Sayfa Başlığı"
"Page Information","Sayfa Bilgisi"
"Page Status","Sayfa Durumu"
"Page was successfully saved","Sayfa kaydedildi"
"Page Identifier cannot consist only of numbers.","Sayfa kimliği sadece numaralardan oluşmamalıdır."
"Page was successfully deleted","Sayfa silindi"
"Manage Pages","Sayfaları Yönet"
"Edit Page","Sayfayı Düzenle"
"Edit Page '%s'","Sayfayı Düzenle '%s'"
"Save Page","Sayfayı Kaydet"
